INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico;;;;;;;;;;;
Fecha de elaboración: 25/02/2011;;;;;;;;;;;
;;;;;;;;;;;
Viviendas particulares habitadas por tamaño de localidad, disponibilidad de energía eléctrica y agua;;;;;;;;;;;Vivienda 7
según disponibilidad de drenaje y lugar de desalojo;;;;;;;;;;;
;;;;;;;;;;;
Entidad federativa;Tamaño de localidad;Energía eléctrica;Disponibilidad de agua;Viviendas particulares habitadas1;Disponen de drenaje;;;;;No tiene drenaje;No especificado
;;;;;Lugar de desalojo;;;;;;
;;;;;Total;Red pública;Fosa séptica;Tubería que va a dar a una barranca o grieta;Tubería que va a dar a un río, lago o mar;;
;;;;;;;;;;;
14 Jalisco;1 000-2 499 habitantes;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;110;31;13;14;4;0;76;3
14 Jalisco;1 000-2 499 habitantes;No disponen de energía eléctrica;Agua de pipa;53;39;8;30;0;1;14;0
14 Jalisco;1 000-2 499 habitantes;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;166;49;13;34;1;1;109;8
14 Jalisco;1 000-2 499 habitantes;No disponen de energía eléctrica;No especificado;10;6;5;1;0;0;4;0
14 Jalisco;1 000-2 499 habitantes;No especificado;Total;161;50;34;15;1;0;5;106
14 Jalisco;1 000-2 499 habitantes;No especificado;Agua entubada dentro de la vivienda;39;37;30;6;1;0;2;0
14 Jalisco;1 000-2 499 habitantes;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;9;7;2;5;0;0;2;0
14 Jalisco;1 000-2 499 habitantes;No especificado;Agua entubada de la llave pública (o hidrante);2;2;1;1;0;0;0;0
14 Jalisco;1 000-2 499 habitantes;No especificado;Agua entubada que acarrean de otra vivienda;1;1;0;1;0;0;0;0
14 Jalisco;1 000-2 499 habitantes;No especificado;Agua de pipa;2;1;0;1;0;0;1;0
14 Jalisco;1 000-2 499 habitantes;No especificado;Agua de pozo, río, lago, arroyo u otra;1;1;0;1;0;0;0;0
14 Jalisco;1 000-2 499 habitantes;No especificado;No especificado;107;1;1;0;0;0;0;106
14 Jalisco;2 500-4 999 habitantes;Total;Total;75.726;73.775;67.821;4.760;357;837;1.560;391
14 Jalisco;2 500-4 999 habitantes;Total;Agua entubada dentro de la vivienda;66.048;65.274;61.483;2.897;270;624;633;141
