INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico;;;;;;;;;;;
Fecha de elaboración: 25/02/2011;;;;;;;;;;;
;;;;;;;;;;;
Ocupantes de viviendas particulares habitadas por municipio, disponibilidad de excusado;;;;;;;;;;;Vivienda 12
y admisión de agua según disponibilidad de drenaje y lugar de desalojo;;;;;;;;;;;
;;;;;;;;;;;
Entidad federativa;Municipio;Disponibilidad de excusado;Admisión de agua;Ocupantes de viviendas particulares1;Disponen de drenaje;;;;;No tiene drenaje;No especificado
;;;;;Lugar de desalojo;;;;;;
;;;;;Total;Red pública;Fosa séptica;Tubería que va a dar a una barranca o grieta;Tubería que va a dar a un río, lago o mar;;
;;;;;;;;;;;
14 Jalisco;030 Chapala;Disponen de excusado;Tiene descarga directa de agua;38.873;38.734;34.816;3.704;20;194;0;139
14 Jalisco;030 Chapala;Disponen de excusado;Le echan agua con cubeta;8.353;8.212;7.017;1.058;34;103;137;4
14 Jalisco;030 Chapala;Disponen de excusado;No se le puede echar agua;102;67;8;59;0;0;35;0
14 Jalisco;030 Chapala;Disponen de excusado;No especificado;143;96;85;11;0;0;30;17
14 Jalisco;030 Chapala;No disponen de excusado;Total;405;138;72;62;4;0;248;19
14 Jalisco;030 Chapala;No especificado;Total;236;55;41;14;0;0;7;174
14 Jalisco;031 Chimaltitán;Total;Total;3.755;2.284;1.325;873;59;27;1.433;38
14 Jalisco;031 Chimaltitán;Disponen de excusado;Total;2.309;2.235;1.322;866;27;20;68;6
14 Jalisco;031 Chimaltitán;Disponen de excusado;Tiene descarga directa de agua;959;959;767;169;17;6;0;0
14 Jalisco;031 Chimaltitán;Disponen de excusado;Le echan agua con cubeta;1.275;1.234;555;655;10;14;41;0
14 Jalisco;031 Chimaltitán;Disponen de excusado;No se le puede echar agua;53;37;0;37;0;0;16;0
14 Jalisco;031 Chimaltitán;Disponen de excusado;No especificado;22;5;0;5;0;0;11;6
14 Jalisco;031 Chimaltitán;No disponen de excusado;Total;1.439;49;3;7;32;7;1.360;30
14 Jalisco;031 Chimaltitán;No especificado;Total;7;0;0;0;0;0;5;2
14 Jalisco;032 Chiquilistlán;Total;Total;5.814;5.401;3.976;1.393;22;10;362;51
14 Jalisco;032 Chiquilistlán;Disponen de excusado;Total;5.348;5.266;3.888;1.368;7;3;72;10
14 Jalisco;032 Chiquilistlán;Disponen de excusado;Tiene descarga directa de agua;2.853;2.853;2.457;393;0;3;0;0
14 Jalisco;032 Chiquilistlán;Disponen de excusado;Le echan agua con cubeta;2.384;2.349;1.408;934;7;0;34;1
14 Jalisco;032 Chiquilistlán;Disponen de excusado;No se le puede echar agua;63;36;0;36;0;0;27;0
14 Jalisco;032 Chiquilistlán;Disponen de excusado;No especificado;48;28;23;5;0;0;11;9
14 Jalisco;032 Chiquilistlán;No disponen de excusado;Total;459;135;88;25;15;7;290;34
14 Jalisco;032 Chiquilistlán;No especificado;Total;7;0;0;0;0;0;0;7
14 Jalisco;022 Cihuatlán;Total;Total;38.547;37.621;26.375;11.116;35;95;676;250
14 Jalisco;022 Cihuatlán;Disponen de excusado;Total;37.557;37.382;26.301;10.951;35;95;99;76
14 Jalisco;022 Cihuatlán;Disponen de excusado;Tiene descarga directa de agua;20.873;20.839;17.179;3.624;3;33;0;34
14 Jalisco;022 Cihuatlán;Disponen de excusado;Le echan agua con cubeta;16.516;16.403;9.026;7.287;32;58;77;36
14 Jalisco;022 Cihuatlán;Disponen de excusado;No se le puede echar agua;36;31;2;29;0;0;5;0
14 Jalisco;022 Cihuatlán;Disponen de excusado;No especificado;132;109;94;11;0;4;17;6
14 Jalisco;022 Cihuatlán;No disponen de excusado;Total;824;221;61;160;0;0;572;31
14 Jalisco;022 Cihuatlán;No especificado;Total;166;18;13;5;0;0;5;143
14 Jalisco;024 Cocula;Total;Total;26.084;25.174;23.684;1.194;83;213;779;131
14 Jalisco;024 Cocula;Disponen de excusado;Total;25.094;24.823;23.426;1.117;83;197;219;52
14 Jalisco;024 Cocula;Disponen de excusado;Tiene descarga directa de agua;17.207;17.183;16.560;450;54;119;0;24
14 Jalisco;024 Cocula;Disponen de excusado;Le echan agua con cubeta;7.573;7.472;6.764;601;29;78;82;19
14 Jalisco;024 Cocula;Disponen de excusado;No se le puede echar agua;142;81;29;52;0;0;61;0
14 Jalisco;024 Cocula;Disponen de excusado;No especificado;172;87;73;14;0;0;76;9
14 Jalisco;024 Cocula;No disponen de excusado;Total;911;331;243;72;0;16;560;20
14 Jalisco;024 Cocula;No especificado;Total;79;20;15;5;0;0;0;59
