INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico;;;;;;;;;;;
Fecha de elaboración: 25/02/2011;;;;;;;;;;;
;;;;;;;;;;;
Ocupantes de viviendas particulares habitadas por municipio, disponibilidad de excusado;;;;;;;;;;;Vivienda 12
y admisión de agua según disponibilidad de drenaje y lugar de desalojo;;;;;;;;;;;
;;;;;;;;;;;
Entidad federativa;Municipio;Disponibilidad de excusado;Admisión de agua;Ocupantes de viviendas particulares1;Disponen de drenaje;;;;;No tiene drenaje;No especificado
;;;;;Lugar de desalojo;;;;;;
;;;;;Total;Red pública;Fosa séptica;Tubería que va a dar a una barranca o grieta;Tubería que va a dar a un río, lago o mar;;
;;;;;;;;;;;
14 Jalisco;093 Tepatitlán de Morelos;No disponen de excusado;Total;2.332;542;76;407;52;7;1.725;65
14 Jalisco;093 Tepatitlán de Morelos;No especificado;Total;275;50;44;6;0;0;6;219
14 Jalisco;094 Tequila;Total;Total;40.489;38.920;34.431;3.041;1.079;369;1.355;214
14 Jalisco;094 Tequila;Disponen de excusado;Total;38.916;38.596;34.233;2.952;1.061;350;245;75
14 Jalisco;094 Tequila;Disponen de excusado;Tiene descarga directa de agua;26.477;26.409;25.079;827;362;141;0;68
14 Jalisco;094 Tequila;Disponen de excusado;Le echan agua con cubeta;12.232;12.056;9.095;2.061;691;209;176;0
14 Jalisco;094 Tequila;Disponen de excusado;No se le puede echar agua;129;83;15;60;8;0;46;0
14 Jalisco;094 Tequila;Disponen de excusado;No especificado;78;48;44;4;0;0;23;7
14 Jalisco;094 Tequila;No disponen de excusado;Total;1.445;289;179;76;15;19;1.103;53
14 Jalisco;094 Tequila;No especificado;Total;128;35;19;13;3;0;7;86
14 Jalisco;095 Teuchitlán;Total;Total;9.082;8.918;8.568;334;9;7;144;20
14 Jalisco;095 Teuchitlán;Disponen de excusado;Total;8.880;8.863;8.524;327;5;7;16;1
14 Jalisco;095 Teuchitlán;Disponen de excusado;Tiene descarga directa de agua;7.290;7.289;7.115;165;5;4;0;1
14 Jalisco;095 Teuchitlán;Disponen de excusado;Le echan agua con cubeta;1.568;1.564;1.401;160;0;3;4;0
14 Jalisco;095 Teuchitlán;Disponen de excusado;No se le puede echar agua;7;5;3;2;0;0;2;0
14 Jalisco;095 Teuchitlán;Disponen de excusado;No especificado;15;5;5;0;0;0;10;0
14 Jalisco;095 Teuchitlán;No disponen de excusado;Total;187;55;44;7;4;0;128;4
14 Jalisco;095 Teuchitlán;No especificado;Total;15;0;0;0;0;0;0;15
14 Jalisco;096 Tizapán el Alto;Total;Total;20.759;19.767;18.316;1.349;22;80;840;152
14 Jalisco;096 Tizapán el Alto;Disponen de excusado;Total;19.837;19.548;18.188;1.258;22;80;231;58
14 Jalisco;096 Tizapán el Alto;Disponen de excusado;Tiene descarga directa de agua;13.478;13.455;12.810;590;13;42;0;23
14 Jalisco;096 Tizapán el Alto;Disponen de excusado;Le echan agua con cubeta;6.114;5.999;5.334;618;9;38;109;6
14 Jalisco;096 Tizapán el Alto;Disponen de excusado;No se le puede echar agua;159;77;27;50;0;0;82;0
14 Jalisco;096 Tizapán el Alto;Disponen de excusado;No especificado;86;17;17;0;0;0;40;29
14 Jalisco;096 Tizapán el Alto;No disponen de excusado;Total;832;211;122;89;0;0;609;12
14 Jalisco;096 Tizapán el Alto;No especificado;Total;90;8;6;2;0;0;0;82
14 Jalisco;097 Tlajomulco de Zúñiga;Total;Total;403.692;399.224;378.298;19.917;408;601;2.806;1.662
14 Jalisco;097 Tlajomulco de Zúñiga;Disponen de excusado;Total;400.422;398.217;377.746;19.524;379;568;1.534;671
14 Jalisco;097 Tlajomulco de Zúñiga;Disponen de excusado;Tiene descarga directa de agua;350.537;349.980;340.319;9.157;226;278;0;557
14 Jalisco;097 Tlajomulco de Zúñiga;Disponen de excusado;Le echan agua con cubeta;45.190;44.302;34.046;9.836;141;279;833;55
14 Jalisco;097 Tlajomulco de Zúñiga;Disponen de excusado;No se le puede echar agua;699;469;69;392;7;1;226;4
14 Jalisco;097 Tlajomulco de Zúñiga;Disponen de excusado;No especificado;3.996;3.466;3.312;139;5;10;475;55
14 Jalisco;097 Tlajomulco de Zúñiga;No disponen de excusado;Total;2.127;785;359;364;29;33;1.260;82
14 Jalisco;097 Tlajomulco de Zúñiga;No especificado;Total;1.143;222;193;29;0;0;12;909
14 Jalisco;098 Tlaquepaque;Total;Total;601.625;593.697;570.960;20.967;817;953;4.522;3.406
14 Jalisco;098 Tlaquepaque;Disponen de excusado;Total;596.264;591.885;569.843;20.332;765;945;3.382;997
14 Jalisco;098 Tlaquepaque;Disponen de excusado;Tiene descarga directa de agua;451.405;450.787;445.872;4.437;231;247;0;618
14 Jalisco;098 Tlaquepaque;Disponen de excusado;Le echan agua con cubeta;137.439;135.042;118.953;14.894;514;681;2.124;273
14 Jalisco;098 Tlaquepaque;Disponen de excusado;No se le puede echar agua;1.702;1.216;252;933;20;11;478;8
14 Jalisco;098 Tlaquepaque;Disponen de excusado;No especificado;5.718;4.840;4.766;68;0;6;780;98
14 Jalisco;098 Tlaquepaque;No disponen de excusado;Total;2.486;1.259;643;578;36;2;1.111;116
14 Jalisco;098 Tlaquepaque;No especificado;Total;2.875;553;474;57;16;6;29;2.293
14 Jalisco;099 Tolimán;Total;Total;9.587;8.356;6.560;1.640;147;9;1.218;13
14 Jalisco;099 Tolimán;Disponen de excusado;Total;8.386;8.251;6.492;1.603;147;9;131;4
14 Jalisco;099 Tolimán;Disponen de excusado;Tiene descarga directa de agua;2.969;2.969;2.649;282;30;8;0;0
14 Jalisco;099 Tolimán;Disponen de excusado;Le echan agua con cubeta;5.349;5.279;3.843;1.320;115;1;66;4
14 Jalisco;099 Tolimán;Disponen de excusado;No se le puede echar agua;50;1;0;1;0;0;49;0
14 Jalisco;099 Tolimán;Disponen de excusado;No especificado;18;2;0;0;2;0;16;0
14 Jalisco;099 Tolimán;No disponen de excusado;Total;1.196;100;68;32;0;0;1.087;9
14 Jalisco;099 Tolimán;No especificado;Total;5;5;0;5;0;0;0;0
14 Jalisco;100 Tomatlán;Total;Total;34.714;29.792;16.522;12.305;837;128;4.661;261
14 Jalisco;100 Tomatlán;Disponen de excusado;Total;30.237;29.488;16.416;12.232;729;111;647;102
14 Jalisco;100 Tomatlán;Disponen de excusado;Tiene descarga directa de agua;14.500;14.416;10.247;3.867;252;50;0;84
14 Jalisco;100 Tomatlán;Disponen de excusado;Le echan agua con cubeta;15.347;14.991;6.160;8.313;460;58;350;6
14 Jalisco;100 Tomatlán;Disponen de excusado;No se le puede echar agua;226;65;3;46;16;0;156;5
14 Jalisco;100 Tomatlán;Disponen de excusado;No especificado;164;16;6;6;1;3;141;7
14 Jalisco;100 Tomatlán;No disponen de excusado;Total;4.415;278;82;71;108;17;4.013;124
14 Jalisco;100 Tomatlán;No especificado;Total;62;26;24;2;0;0;1;35
14 Jalisco;101 Tonalá;Total;Total;457.349;449.652;422.698;23.082;1.985;1.887;5.689;2.008
14 Jalisco;101 Tonalá;Disponen de excusado;Total;452.809;448.050;421.947;22.255;1.968;1.880;4.151;608
14 Jalisco;101 Tonalá;Disponen de excusado;Tiene descarga directa de agua;346.562;346.169;339.739;4.998;778;654;0;393
14 Jalisco;101 Tonalá;Disponen de excusado;Le echan agua con cubeta;101.302;98.606;80.516;15.736;1.147;1.207;2.576;120
14 Jalisco;101 Tonalá;Disponen de excusado;No se le puede echar agua;2.434;1.800;275;1.472;43;10;627;7
14 Jalisco;101 Tonalá;Disponen de excusado;No especificado;2.511;1.475;1.417;49;0;9;948;88
14 Jalisco;101 Tonalá;No disponen de excusado;Total;2.770;1.156;344;794;13;5;1.530;84
14 Jalisco;101 Tonalá;No especificado;Total;1.770;446;407;33;4;2;8;1.316
14 Jalisco;102 Tonaya;Total;Total;5.926;5.792;5.161;271;269;91;114;20
14 Jalisco;102 Tonaya;Disponen de excusado;Total;5.805;5.771;5.142;269;269;91;28;6
14 Jalisco;102 Tonaya;Disponen de excusado;Tiene descarga directa de agua;4.351;4.351;3.932;172;195;52;0;0
14 Jalisco;102 Tonaya;Disponen de excusado;Le echan agua con cubeta;1.434;1.413;1.207;97;70;39;15;6
14 Jalisco;102 Tonaya;Disponen de excusado;No se le puede echar agua;1;0;0;0;0;0;1;0
14 Jalisco;102 Tonaya;Disponen de excusado;No especificado;19;7;3;0;4;0;12;0
14 Jalisco;102 Tonaya;No disponen de excusado;Total;119;21;19;2;0;0;86;12
14 Jalisco;102 Tonaya;No especificado;Total;2;0;0;0;0;0;0;2
14 Jalisco;103 Tonila;Total;Total;7.247;7.157;6.649;168;336;4;58;32
14 Jalisco;103 Tonila;Disponen de excusado;Total;7.174;7.122;6.624;162;336;0;36;16
14 Jalisco;103 Tonila;Disponen de excusado;Tiene descarga directa de agua;3.604;3.593;3.400;64;129;0;0;11
14 Jalisco;103 Tonila;Disponen de excusado;Le echan agua con cubeta;3.527;3.493;3.188;98;207;0;29;5
14 Jalisco;103 Tonila;Disponen de excusado;No se le puede echar agua;6;6;6;0;0;0;0;0
14 Jalisco;103 Tonila;Disponen de excusado;No especificado;37;30;30;0;0;0;7;0
14 Jalisco;103 Tonila;No disponen de excusado;Total;58;35;25;6;0;4;22;1
14 Jalisco;103 Tonila;No especificado;Total;15;0;0;0;0;0;0;15
14 Jalisco;104 Totatiche;Total;Total;4.380;3.966;2.874;1.014;35;43;396;18
14 Jalisco;104 Totatiche;Disponen de excusado;Total;3.994;3.949;2.863;1.008;35;43;41;4
14 Jalisco;104 Totatiche;Disponen de excusado;Tiene descarga directa de agua;3.472;3.468;2.659;765;20;24;0;4
14 Jalisco;104 Totatiche;Disponen de excusado;Le echan agua con cubeta;460;457;198;225;15;19;3;0
14 Jalisco;104 Totatiche;Disponen de excusado;No se le puede echar agua;34;15;0;15;0;0;19;0
14 Jalisco;104 Totatiche;Disponen de excusado;No especificado;28;9;6;3;0;0;19;0
14 Jalisco;104 Totatiche;No disponen de excusado;Total;382;13;7;6;0;0;355;14
14 Jalisco;104 Totatiche;No especificado;Total;4;4;4;0;0;0;0;0
14 Jalisco;105 Tototlán;Total;Total;21.830;21.110;18.126;2.669;183;132;654;66
14 Jalisco;105 Tototlán;Disponen de excusado;Total;21.074;20.919;17.970;2.649;170;130;120;35
14 Jalisco;105 Tototlán;Disponen de excusado;Tiene descarga directa de agua;15.238;15.219;13.503;1.518;136;62;0;19
14 Jalisco;105 Tototlán;Disponen de excusado;Le echan agua con cubeta;5.720;5.662;4.442;1.118;34;68;57;1
14 Jalisco;105 Tototlán;Disponen de excusado;No se le puede echar agua;19;13;0;13;0;0;6;0
14 Jalisco;105 Tototlán;Disponen de excusado;No especificado;97;25;25;0;0;0;57;15
14 Jalisco;105 Tototlán;No disponen de excusado;Total;729;188;153;20;13;2;534;7
14 Jalisco;105 Tototlán;No especificado;Total;27;3;3;0;0;0;0;24
14 Jalisco;106 Tuxcacuesco;Total;Total;4.223;3.832;2.347;1.426;27;32;384;7
14 Jalisco;106 Tuxcacuesco;Disponen de excusado;Total;3.877;3.810;2.329;1.422;27;32;64;3
14 Jalisco;106 Tuxcacuesco;Disponen de excusado;Tiene descarga directa de agua;2.215;2.215;1.756;423;16;20;0;0
14 Jalisco;106 Tuxcacuesco;Disponen de excusado;Le echan agua con cubeta;1.643;1.591;573;995;11;12;49;3
14 Jalisco;106 Tuxcacuesco;Disponen de excusado;No se le puede echar agua;7;4;0;4;0;0;3;0
14 Jalisco;106 Tuxcacuesco;Disponen de excusado;No especificado;12;0;0;0;0;0;12;0
14 Jalisco;106 Tuxcacuesco;No disponen de excusado;Total;346;22;18;4;0;0;320;4
14 Jalisco;107 Tuxcueca;Total;Total;6.316;5.935;4.342;1.577;4;12;312;69
14 Jalisco;107 Tuxcueca;Disponen de excusado;Total;6.119;5.921;4.342;1.567;0;12;160;38
14 Jalisco;107 Tuxcueca;Disponen de excusado;Tiene descarga directa de agua;3.985;3.980;2.932;1.045;0;3;0;5
14 Jalisco;107 Tuxcueca;Disponen de excusado;Le echan agua con cubeta;2.036;1.911;1.402;500;0;9;125;0
14 Jalisco;107 Tuxcueca;Disponen de excusado;No se le puede echar agua;39;16;0;16;0;0;23;0
14 Jalisco;107 Tuxcueca;Disponen de excusado;No especificado;59;14;8;6;0;0;12;33
14 Jalisco;107 Tuxcueca;No disponen de excusado;Total;167;14;0;10;4;0;147;6
14 Jalisco;107 Tuxcueca;No especificado;Total;30;0;0;0;0;0;5;25
14 Jalisco;108 Tuxpan;Total;Total;34.044;33.371;31.470;1.088;730;83;505;168
14 Jalisco;108 Tuxpan;Disponen de excusado;Total;33.568;33.252;31.429;1.052;688;83;265;51
14 Jalisco;108 Tuxpan;Disponen de excusado;Tiene descarga directa de agua;20.916;20.869;20.250;301;281;37;0;47
14 Jalisco;108 Tuxpan;Disponen de excusado;Le echan agua con cubeta;12.248;12.130;10.975;708;407;40;114;4
14 Jalisco;108 Tuxpan;Disponen de excusado;No se le puede echar agua;263;145;96;43;0;6;118;0
14 Jalisco;108 Tuxpan;Disponen de excusado;No especificado;141;108;108;0;0;0;33;0
14 Jalisco;108 Tuxpan;No disponen de excusado;Total;352;103;25;36;42;0;232;17
14 Jalisco;108 Tuxpan;No especificado;Total;124;16;16;0;0;0;8;100
14 Jalisco;109 Unión de San Antonio;Total;Total;17.316;14.850;11.852;1.852;355;791;2.316;150
14 Jalisco;109 Unión de San Antonio;Disponen de excusado;Total;15.620;14.670;11.774;1.763;344;789;925;25
14 Jalisco;109 Unión de San Antonio;Disponen de excusado;Tiene descarga directa de agua;11.821;11.801;9.908;1.135;273;485;0;20
14 Jalisco;109 Unión de San Antonio;Disponen de excusado;Le echan agua con cubeta;3.056;2.614;1.806;436;68;304;437;5
14 Jalisco;109 Unión de San Antonio;Disponen de excusado;No se le puede echar agua;366;200;46;154;0;0;166;0
14 Jalisco;109 Unión de San Antonio;Disponen de excusado;No especificado;377;55;14;38;3;0;322;0
14 Jalisco;109 Unión de San Antonio;No disponen de excusado;Total;1.638;171;69;89;11;2;1.391;76
14 Jalisco;109 Unión de San Antonio;No especificado;Total;58;9;9;0;0;0;0;49
14 Jalisco;110 Unión de Tula;Total;Total;13.669;13.406;12.696;508;78;124;256;7
14 Jalisco;110 Unión de Tula;Disponen de excusado;Total;13.359;13.281;12.622;482;63;114;73;5
14 Jalisco;110 Unión de Tula;Disponen de excusado;Tiene descarga directa de agua;11.260;11.258;10.900;279;14;65;0;2
14 Jalisco;110 Unión de Tula;Disponen de excusado;Le echan agua con cubeta;2.021;1.973;1.680;200;49;44;45;3
14 Jalisco;110 Unión de Tula;Disponen de excusado;No se le puede echar agua;13;8;5;3;0;0;5;0
14 Jalisco;110 Unión de Tula;Disponen de excusado;No especificado;65;42;37;0;0;5;23;0
14 Jalisco;110 Unión de Tula;No disponen de excusado;Total;309;125;74;26;15;10;183;1
14 Jalisco;110 Unión de Tula;No especificado;Total;1;0;0;0;0;0;0;1
14 Jalisco;111 Valle de Guadalupe;Total;Total;6.692;6.254;4.898;1.193;109;54;397;41
14 Jalisco;111 Valle de Guadalupe;Disponen de excusado;Total;6.311;6.241;4.897;1.182;108;54;58;12
14 Jalisco;111 Valle de Guadalupe;Disponen de excusado;Tiene descarga directa de agua;5.663;5.654;4.803;775;69;7;0;9
14 Jalisco;111 Valle de Guadalupe;Disponen de excusado;Le echan agua con cubeta;580;559;94;379;39;47;21;0
14 Jalisco;111 Valle de Guadalupe;Disponen de excusado;No se le puede echar agua;22;22;0;22;0;0;0;0
14 Jalisco;111 Valle de Guadalupe;Disponen de excusado;No especificado;46;6;0;6;0;0;37;3
14 Jalisco;111 Valle de Guadalupe;No disponen de excusado;Total;366;13;1;11;1;0;339;14
14 Jalisco;111 Valle de Guadalupe;No especificado;Total;15;0;0;0;0;0;0;15
14 Jalisco;112 Valle de Juárez;Total;Total;5.792;5.555;4.834;384;251;86;230;7
14 Jalisco;112 Valle de Juárez;Disponen de excusado;Total;5.532;5.487;4.802;353;246;86;39;6
14 Jalisco;112 Valle de Juárez;Disponen de excusado;Tiene descarga directa de agua;4.633;4.631;4.236;241;112;42;0;2
14 Jalisco;112 Valle de Juárez;Disponen de excusado;Le echan agua con cubeta;873;847;563;106;134;44;22;4
14 Jalisco;112 Valle de Juárez;Disponen de excusado;No se le puede echar agua;12;7;1;6;0;0;5;0
14 Jalisco;112 Valle de Juárez;Disponen de excusado;No especificado;14;2;2;0;0;0;12;0
14 Jalisco;112 Valle de Juárez;No disponen de excusado;Total;259;68;32;31;5;0;191;0
14 Jalisco;112 Valle de Juárez;No especificado;Total;1;0;0;0;0;0;0;1
14 Jalisco;114 Villa Corona;Total;Total;16.922;16.426;15.175;1.121;24;106;397;99
14 Jalisco;114 Villa Corona;Disponen de excusado;Total;16.650;16.352;15.130;1.097;19;106;264;34
14 Jalisco;114 Villa Corona;Disponen de excusado;Tiene descarga directa de agua;14.638;14.611;13.863;682;17;49;0;27
14 Jalisco;114 Villa Corona;Disponen de excusado;Le echan agua con cubeta;1.798;1.700;1.245;396;2;57;91;7
14 Jalisco;114 Villa Corona;Disponen de excusado;No se le puede echar agua;40;26;7;19;0;0;14;0
14 Jalisco;114 Villa Corona;Disponen de excusado;No especificado;174;15;15;0;0;0;159;0
14 Jalisco;114 Villa Corona;No disponen de excusado;Total;208;70;41;24;5;0;133;5
14 Jalisco;114 Villa Corona;No especificado;Total;64;4;4;0;0;0;0;60
14 Jalisco;115 Villa Guerrero;Total;Total;5.613;4.552;3.942;573;27;10;1.020;41
14 Jalisco;115 Villa Guerrero;Disponen de excusado;Total;4.705;4.534;3.935;562;27;10;151;20
14 Jalisco;115 Villa Guerrero;Disponen de excusado;Tiene descarga directa de agua;2.701;2.688;2.494;173;19;2;0;13
14 Jalisco;115 Villa Guerrero;Disponen de excusado;Le echan agua con cubeta;1.907;1.826;1.437;373;8;8;74;7
14 Jalisco;115 Villa Guerrero;Disponen de excusado;No se le puede echar agua;44;11;0;11;0;0;33;0
14 Jalisco;115 Villa Guerrero;Disponen de excusado;No especificado;53;9;4;5;0;0;44;0
14 Jalisco;115 Villa Guerrero;No disponen de excusado;Total;869;14;3;11;0;0;847;8
14 Jalisco;115 Villa Guerrero;No especificado;Total;39;4;4;0;0;0;22;13
14 Jalisco;116 Villa Hidalgo;Total;Total;18.686;18.183;16.633;1.376;159;15;442;61
14 Jalisco;116 Villa Hidalgo;Disponen de excusado;Total;18.193;18.085;16.595;1.330;148;12;86;22
14 Jalisco;116 Villa Hidalgo;Disponen de excusado;Tiene descarga directa de agua;16.967;16.949;15.875;929;133;12;0;18
14 Jalisco;116 Villa Hidalgo;Disponen de excusado;Le echan agua con cubeta;900;878;661;202;15;0;21;1
14 Jalisco;116 Villa Hidalgo;Disponen de excusado;No se le puede echar agua;52;46;13;33;0;0;6;0
14 Jalisco;116 Villa Hidalgo;Disponen de excusado;No especificado;274;212;46;166;0;0;59;3
14 Jalisco;116 Villa Hidalgo;No disponen de excusado;Total;464;86;31;44;8;3;356;22
14 Jalisco;116 Villa Hidalgo;No especificado;Total;29;12;7;2;3;0;0;17
14 Jalisco;068 Villa Purificación;Total;Total;11.603;9.864;5.395;4.227;197;45;1.668;71
14 Jalisco;068 Villa Purificación;Disponen de excusado;Total;9.892;9.796;5.389;4.183;179;45;85;11
14 Jalisco;068 Villa Purificación;Disponen de excusado;Tiene descarga directa de agua;7.428;7.417;4.847;2.428;103;39;0;11
14 Jalisco;068 Villa Purificación;Disponen de excusado;Le echan agua con cubeta;2.333;2.303;530;1.703;64;6;30;0
14 Jalisco;068 Villa Purificación;Disponen de excusado;No se le puede echar agua;63;35;0;35;0;0;28;0
14 Jalisco;068 Villa Purificación;Disponen de excusado;No especificado;68;41;12;17;12;0;27;0
14 Jalisco;068 Villa Purificación;No disponen de excusado;Total;1.697;68;6;44;18;0;1.578;51
14 Jalisco;068 Villa Purificación;No especificado;Total;14;0;0;0;0;0;5;9
14 Jalisco;118 Yahualica de González Gallo;Total;Total;22.151;20.762;18.088;2.081;350;243;1.271;118
14 Jalisco;118 Yahualica de González Gallo;Disponen de excusado;Total;21.121;20.668;18.071;2.011;345;241;434;19
14 Jalisco;118 Yahualica de González Gallo;Disponen de excusado;Tiene descarga directa de agua;16.636;16.623;15.181;1.071;224;147;0;13
14 Jalisco;118 Yahualica de González Gallo;Disponen de excusado;Le echan agua con cubeta;4.192;3.951;2.868;874;115;94;238;3
14 Jalisco;118 Yahualica de González Gallo;Disponen de excusado;No se le puede echar agua;73;48;5;43;0;0;25;0
14 Jalisco;118 Yahualica de González Gallo;Disponen de excusado;No especificado;220;46;17;23;6;0;171;3
14 Jalisco;118 Yahualica de González Gallo;No disponen de excusado;Total;987;91;14;70;5;2;827;69
14 Jalisco;118 Yahualica de González Gallo;No especificado;Total;43;3;3;0;0;0;10;30
14 Jalisco;119 Zacoalco de Torres;Total;Total;27.750;26.349;15.955;10.328;23;43;1.334;67
14 Jalisco;119 Zacoalco de Torres;Disponen de excusado;Total;26.986;26.251;15.916;10.283;17;35;716;19
14 Jalisco;119 Zacoalco de Torres;Disponen de excusado;Tiene descarga directa de agua;18.768;18.755;12.645;6.094;1;15;0;13
14 Jalisco;119 Zacoalco de Torres;Disponen de excusado;Le echan agua con cubeta;7.471;7.149;3.205;3.908;16;20;322;0
14 Jalisco;119 Zacoalco de Torres;Disponen de excusado;No se le puede echar agua;531;310;37;273;0;0;215;6
14 Jalisco;119 Zacoalco de Torres;Disponen de excusado;No especificado;216;37;29;8;0;0;179;0
14 Jalisco;119 Zacoalco de Torres;No disponen de excusado;Total;724;90;31;45;6;8;618;16
14 Jalisco;119 Zacoalco de Torres;No especificado;Total;40;8;8;0;0;0;0;32
14 Jalisco;120 Zapopan;Total;Total;1.220.171;1.208.532;1.160.646;38.577;5.867;3.442;5.178;6.461
14 Jalisco;120 Zapopan;Disponen de excusado;Total;1.211.121;1.205.446;1.158.373;37.890;5.794;3.389;3.610;2.065
14 Jalisco;120 Zapopan;Disponen de excusado;Tiene descarga directa de agua;1.040.819;1.039.290;1.021.620;13.885;2.300;1.485;0;1.529
14 Jalisco;120 Zapopan;Disponen de excusado;Le echan agua con cubeta;160.960;158.503;130.849;22.303;3.463;1.888;2.139;318
14 Jalisco;120 Zapopan;Disponen de excusado;No se le puede echar agua;2.236;1.883;232;1.632;12;7;353;0
14 Jalisco;120 Zapopan;Disponen de excusado;No especificado;7.106;5.770;5.672;70;19;9;1.118;218
14 Jalisco;120 Zapopan;No disponen de excusado;Total;3.753;2.053;1.329;632;50;42;1.555;145
14 Jalisco;120 Zapopan;No especificado;Total;5.297;1.033;944;55;23;11;13;4.251
14 Jalisco;121 Zapotiltic;Total;Total;29.098;28.811;25.679;2.424;575;133;271;16
14 Jalisco;121 Zapotiltic;Disponen de excusado;Total;28.830;28.746;25.642;2.396;575;133;71;13
14 Jalisco;121 Zapotiltic;Disponen de excusado;Tiene descarga directa de agua;20.649;20.638;19.085;1.160;311;82;0;11
14 Jalisco;121 Zapotiltic;Disponen de excusado;Le echan agua con cubeta;8.094;8.041;6.519;1.211;260;51;53;0
14 Jalisco;121 Zapotiltic;Disponen de excusado;No se le puede echar agua;47;44;21;23;0;0;3;0
14 Jalisco;121 Zapotiltic;Disponen de excusado;No especificado;40;23;17;2;4;0;15;2
14 Jalisco;121 Zapotiltic;No disponen de excusado;Total;265;65;37;28;0;0;200;0
14 Jalisco;121 Zapotiltic;No especificado;Total;3;0;0;0;0;0;0;3
14 Jalisco;122 Zapotitlán de Vadillo;Total;Total;6.681;5.740;4.312;954;469;5;843;98
14 Jalisco;122 Zapotitlán de Vadillo;Disponen de excusado;Total;5.843;5.521;4.267;900;349;5;312;10
14 Jalisco;122 Zapotitlán de Vadillo;Disponen de excusado;Tiene descarga directa de agua;1.952;1.952;1.765;119;68;0;0;0
14 Jalisco;122 Zapotitlán de Vadillo;Disponen de excusado;Le echan agua con cubeta;3.826;3.519;2.497;736;281;5;297;10
14 Jalisco;122 Zapotitlán de Vadillo;Disponen de excusado;No se le puede echar agua;25;25;1;24;0;0;0;0
14 Jalisco;122 Zapotitlán de Vadillo;Disponen de excusado;No especificado;40;25;4;21;0;0;15;0
14 Jalisco;122 Zapotitlán de Vadillo;No disponen de excusado;Total;836;217;45;52;120;0;531;88
14 Jalisco;122 Zapotitlán de Vadillo;No especificado;Total;2;2;0;2;0;0;0;0
14 Jalisco;123 Zapotlán del Rey;Total;Total;17.575;17.051;15.440;1.145;82;384;453;71
14 Jalisco;123 Zapotlán del Rey;Disponen de excusado;Total;16.976;16.840;15.254;1.126;82;378;123;13
14 Jalisco;123 Zapotlán del Rey;Disponen de excusado;Tiene descarga directa de agua;10.590;10.582;9.817;459;53;253;0;8
14 Jalisco;123 Zapotlán del Rey;Disponen de excusado;Le echan agua con cubeta;6.259;6.200;5.411;641;29;119;59;0
14 Jalisco;123 Zapotlán del Rey;Disponen de excusado;No se le puede echar agua;72;47;16;25;0;6;25;0
14 Jalisco;123 Zapotlán del Rey;Disponen de excusado;No especificado;55;11;10;1;0;0;39;5
14 Jalisco;123 Zapotlán del Rey;No disponen de excusado;Total;574;202;180;16;0;6;330;42
14 Jalisco;123 Zapotlán del Rey;No especificado;Total;25;9;6;3;0;0;0;16
14 Jalisco;023 Zapotlán el Grande;Total;Total;97.689;97.038;94.572;2.207;130;129;502;149
14 Jalisco;023 Zapotlán el Grande;Disponen de excusado;Total;97.194;96.797;94.458;2.103;112;124;337;60
14 Jalisco;023 Zapotlán el Grande;Disponen de excusado;Tiene descarga directa de agua;83.567;83.520;82.673;725;44;78;0;47
14 Jalisco;023 Zapotlán el Grande;Disponen de excusado;Le echan agua con cubeta;13.016;12.749;11.568;1.071;64;46;254;13
14 Jalisco;023 Zapotlán el Grande;Disponen de excusado;No se le puede echar agua;429;350;45;305;0;0;79;0
14 Jalisco;023 Zapotlán el Grande;Disponen de excusado;No especificado;182;178;172;2;4;0;4;0
14 Jalisco;023 Zapotlán el Grande;No disponen de excusado;Total;354;178;60;95;18;5;165;11
14 Jalisco;023 Zapotlán el Grande;No especificado;Total;141;63;54;9;0;0;0;78
14 Jalisco;124 Zapotlanejo;Total;Total;63.525;60.367;45.439;12.525;846;1.557;2.923;235
14 Jalisco;124 Zapotlanejo;Disponen de excusado;Total;60.245;59.697;45.266;12.085;822;1.524;450;98
14 Jalisco;124 Zapotlanejo;Disponen de excusado;Tiene descarga directa de agua;44.243;44.166;36.368;6.311;482;1.005;0;77
14 Jalisco;124 Zapotlanejo;Disponen de excusado;Le echan agua con cubeta;14.643;14.431;8.113;5.470;329;519;198;14
14 Jalisco;124 Zapotlanejo;Disponen de excusado;No se le puede echar agua;363;292;10;271;11;0;71;0
14 Jalisco;124 Zapotlanejo;Disponen de excusado;No especificado;996;808;775;33;0;0;181;7
14 Jalisco;124 Zapotlanejo;No disponen de excusado;Total;3.132;569;88;424;24;33;2.470;93
14 Jalisco;124 Zapotlanejo;No especificado;Total;148;101;85;16;0;0;3;44
;;;;;;;;;;;
1  El total de ocupantes de viviendas particulares habitadas excluye a los de viviendas móviles, refugios y locales no construidos para habitación debido a que no se captaron;;;;;;;;;;;
   características de estas clases de vivienda. Asimismo, excluye a la población estimada de las viviendas sin información de ocupantes.;;;;;;;;;;;
