INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico;;;;;;;;;;;
Fecha de elaboración: 25/02/2011;;;;;;;;;;;
;;;;;;;;;;;
Ocupantes de viviendas particulares habitadas por tamaño de localidad, disponibilidad de excusado;;;;;;;;;;;Vivienda 11
y admisión de agua según disponibilidad de drenaje y lugar de desalojo;;;;;;;;;;;
;;;;;;;;;;;
Entidad federativa;Tamaño de localidad;Disponibilidad de excusado;Admisión de agua;Ocupantes de viviendas particulares1;Disponen de drenaje;;;;;No tiene drenaje;No especificado
;;;;;Lugar de desalojo;;;;;;
;;;;;Total;Red pública;Fosa séptica;Tubería que va a dar a una barranca o grieta;Tubería que va a dar a un río, lago o mar;;
;;;;;;;;;;;
14 Jalisco;250 000-499 999 habitantes;Disponen de excusado;Le echan agua con cubeta;92.259;90.210;75.692;12.557;836;1.125;1.956;93
14 Jalisco;250 000-499 999 habitantes;Disponen de excusado;No se le puede echar agua;2.116;1.580;267;1.282;21;10;529;7
14 Jalisco;250 000-499 999 habitantes;Disponen de excusado;No especificado;2.050;1.237;1.209;19;0;9;736;77
14 Jalisco;250 000-499 999 habitantes;No disponen de excusado;Total;1.718;718;280;420;13;5;955;45
14 Jalisco;250 000-499 999 habitantes;No especificado;Total;1.448;375;349;20;4;2;8;1.065
14 Jalisco;500 000-999 999 habitantes;Total;Total;569.988;562.728;543.942;17.103;775;908;3.961;3.299
14 Jalisco;500 000-999 999 habitantes;Disponen de excusado;Total;565.099;561.057;542.833;16.588;728;908;3.093;949
14 Jalisco;500 000-999 999 habitantes;Disponen de excusado;Tiene descarga directa de agua;425.907;425.328;421.143;3.721;225;239;0;579
14 Jalisco;500 000-999 999 habitantes;Disponen de excusado;Le echan agua con cubeta;132.607;130.381;117.173;12.063;493;652;1.958;268
14 Jalisco;500 000-999 999 habitantes;Disponen de excusado;No se le puede echar agua;1.459;1.015;251;743;10;11;436;8
14 Jalisco;500 000-999 999 habitantes;Disponen de excusado;No especificado;5.126;4.333;4.266;61;0;6;699;94
14 Jalisco;500 000-999 999 habitantes;No disponen de excusado;Total;2.066;1.128;639;458;31;0;844;94
14 Jalisco;500 000-999 999 habitantes;No especificado;Total;2.823;543;470;57;16;0;24;2.256
14 Jalisco;1 000 000 y más habitantes;Total;Total;2.585.486;2.568.446;2.534.160;24.623;6.393;3.270;4.323;12.717
14 Jalisco;1 000 000 y más habitantes;Disponen de excusado;Total;2.572.026;2.564.202;2.530.546;24.116;6.300;3.240;3.247;4.577
14 Jalisco;1 000 000 y más habitantes;Disponen de excusado;Tiene descarga directa de agua;2.321.292;2.317.600;2.306.354;7.235;2.527;1.484;0;3.692
14 Jalisco;1 000 000 y más habitantes;Disponen de excusado;Le echan agua con cubeta;230.904;228.503;207.744;15.287;3.732;1.740;1.978;423
14 Jalisco;1 000 000 y más habitantes;Disponen de excusado;No se le puede echar agua;2.324;1.979;405;1.545;22;7;340;5
14 Jalisco;1 000 000 y más habitantes;Disponen de excusado;No especificado;17.506;16.120;16.043;49;19;9;929;457
14 Jalisco;1 000 000 y más habitantes;No disponen de excusado;Total;3.350;2.121;1.564;479;59;19;1.064;165
14 Jalisco;1 000 000 y más habitantes;No especificado;Total;10.110;2.123;2.050;28;34;11;12;7.975
;;;;;;;;;;;
1  El total de ocupantes de viviendas particulares habitadas excluye a los de viviendas móviles, refugios y locales no construidos para habitación debido a que no se captaron;;;;;;;;;;;
   características de estas clases de vivienda. Asimismo, excluye a la población estimada de las viviendas sin información de ocupantes.;;;;;;;;;;;
