INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico;;;;;;;;;;;
Fecha de elaboración: 25/02/2011;;;;;;;;;;;
;;;;;;;;;;;
Viviendas particulares habitadas por municipio, disponibilidad de energía eléctrica y agua;;;;;;;;;;;Vivienda 9
según disponibilidad de drenaje y lugar de desalojo;;;;;;;;;;;
;;;;;;;;;;;
Entidad federativa;Municipio;Energía eléctrica;Disponibilidad de agua;Viviendas particulares habitadas1;Disponen de drenaje;;;;;No tiene drenaje;No especificado
;;;;;Lugar de desalojo;;;;;;
;;;;;Total;Red pública;Fosa séptica;Tubería que va a dar a una barranca o grieta;Tubería que va a dar a un río, lago o mar;;
;;;;;;;;;;;
14 Jalisco;003 Ahualulco de Mercado;No especificado;Agua entubada dentro de la vivienda;1;1;1;0;0;0;0;0
14 Jalisco;003 Ahualulco de Mercado;No especificado;No especificado;7;0;0;0;0;0;0;7
14 Jalisco;004 Amacueca;Total;Total;1.409;1.383;1.176;205;2;0;19;7
14 Jalisco;004 Amacueca;Total;Agua entubada dentro de la vivienda;1.338;1.320;1.138;181;1;0;12;6
14 Jalisco;004 Amacueca;Total;Agua entubada fuera de la vivienda pero dentro del terreno;44;42;29;12;1;0;2;0
14 Jalisco;004 Amacueca;Total;Agua entubada de llave pública (o hidrante);2;2;1;1;0;0;0;0
14 Jalisco;004 Amacueca;Total;Agua entubada que acarrean de otra vivienda;11;11;5;6;0;0;0;0
14 Jalisco;004 Amacueca;Total;Agua de pozo, río, lago, arroyo u otra;10;5;1;4;0;0;4;1
14 Jalisco;004 Amacueca;Total;No especificado;4;3;2;1;0;0;1;0
14 Jalisco;004 Amacueca;Disponen de energía eléctrica;Total;1.386;1.368;1.170;196;2;0;13;5
14 Jalisco;004 Amacueca;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;1.324;1.310;1.133;176;1;0;9;5
14 Jalisco;004 Amacueca;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;43;41;28;12;1;0;2;0
14 Jalisco;004 Amacueca;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);2;2;1;1;0;0;0;0
14 Jalisco;004 Amacueca;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;8;8;5;3;0;0;0;0
14 Jalisco;004 Amacueca;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;6;4;1;3;0;0;2;0
14 Jalisco;004 Amacueca;Disponen de energía eléctrica;No especificado;3;3;2;1;0;0;0;0
14 Jalisco;004 Amacueca;No disponen de energía eléctrica;Total;21;13;5;8;0;0;6;2
14 Jalisco;004 Amacueca;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;12;8;4;4;0;0;3;1
14 Jalisco;004 Amacueca;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;1;1;1;0;0;0;0;0
14 Jalisco;004 Amacueca;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;3;3;0;3;0;0;0;0
14 Jalisco;004 Amacueca;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;4;1;0;1;0;0;2;1
14 Jalisco;004 Amacueca;No disponen de energía eléctrica;No especificado;1;0;0;0;0;0;1;0
14 Jalisco;004 Amacueca;No especificado;Total;2;2;1;1;0;0;0;0
14 Jalisco;004 Amacueca;No especificado;Agua entubada dentro de la vivienda;2;2;1;1;0;0;0;0
14 Jalisco;005 Amatitán;Total;Total;3.449;3.348;2.993;307;28;20;83;18
14 Jalisco;005 Amatitán;Total;Agua entubada dentro de la vivienda;2.946;2.907;2.684;191;17;15;34;5
14 Jalisco;005 Amatitán;Total;Agua entubada fuera de la vivienda pero dentro del terreno;404;367;264;93;9;1;33;4
14 Jalisco;005 Amatitán;Total;Agua entubada de llave pública (o hidrante);20;19;13;3;1;2;1;0
14 Jalisco;005 Amatitán;Total;Agua entubada que acarrean de otra vivienda;44;31;18;10;1;2;12;1
14 Jalisco;005 Amatitán;Total;Agua de pipa;9;8;5;3;0;0;1;0
14 Jalisco;005 Amatitán;Total;Agua de pozo, río, lago, arroyo u otra;16;14;7;7;0;0;2;0
14 Jalisco;005 Amatitán;Total;No especificado;10;2;2;0;0;0;0;8
14 Jalisco;005 Amatitán;Disponen de energía eléctrica;Total;3.403;3.321;2.976;299;26;20;72;10
14 Jalisco;005 Amatitán;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;2.933;2.896;2.674;191;16;15;32;5
14 Jalisco;005 Amatitán;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;390;358;260;89;8;1;29;3
14 Jalisco;005 Amatitán;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);19;19;13;3;1;2;0;0
14 Jalisco;005 Amatitán;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;39;28;17;8;1;2;10;1
14 Jalisco;005 Amatitán;Disponen de energía eléctrica;Agua de pipa;4;4;3;1;0;0;0;0
14 Jalisco;005 Amatitán;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;15;14;7;7;0;0;1;0
14 Jalisco;005 Amatitán;Disponen de energía eléctrica;No especificado;3;2;2;0;0;0;0;1
14 Jalisco;005 Amatitán;No disponen de energía eléctrica;Total;38;26;16;8;2;0;11;1
14 Jalisco;005 Amatitán;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;13;11;10;0;1;0;2;0
14 Jalisco;005 Amatitán;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;13;8;3;4;1;0;4;1
14 Jalisco;005 Amatitán;No disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);1;0;0;0;0;0;1;0
14 Jalisco;005 Amatitán;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;5;3;1;2;0;0;2;0
14 Jalisco;005 Amatitán;No disponen de energía eléctrica;Agua de pipa;5;4;2;2;0;0;1;0
14 Jalisco;005 Amatitán;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;1;0;0;0;0;0;1;0
14 Jalisco;005 Amatitán;No especificado;Total;8;1;1;0;0;0;0;7
14 Jalisco;005 Amatitán;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;1;1;1;0;0;0;0;0
14 Jalisco;005 Amatitán;No especificado;No especificado;7;0;0;0;0;0;0;7
14 Jalisco;006 Ameca;Total;Total;15.465;15.077;13.812;983;89;193;360;28
14 Jalisco;006 Ameca;Total;Agua entubada dentro de la vivienda;11.930;11.830;11.261;394;28;147;85;15
14 Jalisco;006 Ameca;Total;Agua entubada fuera de la vivienda pero dentro del terreno;2.087;1.915;1.462;368;50;35;166;6
14 Jalisco;006 Ameca;Total;Agua entubada de llave pública (o hidrante);640;635;626;8;0;1;5;0
14 Jalisco;006 Ameca;Total;Agua entubada que acarrean de otra vivienda;115;75;56;14;2;3;40;0
14 Jalisco;006 Ameca;Total;Agua de pipa;72;68;37;30;1;0;4;0
14 Jalisco;006 Ameca;Total;Agua de pozo, río, lago, arroyo u otra;602;543;365;164;8;6;56;3
14 Jalisco;006 Ameca;Total;No especificado;19;11;5;5;0;1;4;4
14 Jalisco;006 Ameca;Disponen de energía eléctrica;Total;15.319;14.977;13.756;952;79;190;319;23
14 Jalisco;006 Ameca;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;11.886;11.791;11.228;391;28;144;81;14
14 Jalisco;006 Ameca;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;2.048;1.894;1.450;362;47;35;149;5
14 Jalisco;006 Ameca;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);639;634;626;7;0;1;5;0
14 Jalisco;006 Ameca;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;99;66;51;12;0;3;33;0
14 Jalisco;006 Ameca;Disponen de energía eléctrica;Agua de pipa;64;60;35;25;0;0;4;0
14 Jalisco;006 Ameca;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;572;523;362;151;4;6;46;3
14 Jalisco;006 Ameca;Disponen de energía eléctrica;No especificado;11;9;4;4;0;1;1;1
14 Jalisco;006 Ameca;No disponen de energía eléctrica;Total;139;96;55;28;10;3;41;2
14 Jalisco;006 Ameca;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;43;38;32;3;0;3;4;1
14 Jalisco;006 Ameca;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;38;20;12;5;3;0;17;1
14 Jalisco;006 Ameca;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;16;9;5;2;2;0;7;0
14 Jalisco;006 Ameca;No disponen de energía eléctrica;Agua de pipa;7;7;2;4;1;0;0;0
14 Jalisco;006 Ameca;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;30;20;3;13;4;0;10;0
14 Jalisco;006 Ameca;No disponen de energía eléctrica;No especificado;5;2;1;1;0;0;3;0
14 Jalisco;006 Ameca;No especificado;Total;7;4;1;3;0;0;0;3
14 Jalisco;006 Ameca;No especificado;Agua entubada dentro de la vivienda;1;1;1;0;0;0;0;0
14 Jalisco;006 Ameca;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;1;1;0;1;0;0;0;0
14 Jalisco;006 Ameca;No especificado;Agua entubada de llave pública (o hidrante);1;1;0;1;0;0;0;0
14 Jalisco;006 Ameca;No especificado;Agua de pipa;1;1;0;1;0;0;0;0
14 Jalisco;006 Ameca;No especificado;No especificado;3;0;0;0;0;0;0;3
14 Jalisco;008 Arandas;Total;Total;17.965;17.341;14.585;2.495;164;97;562;62
14 Jalisco;008 Arandas;Total;Agua entubada dentro de la vivienda;15.752;15.556;13.842;1.535;107;72;178;18
14 Jalisco;008 Arandas;Total;Agua entubada fuera de la vivienda pero dentro del terreno;434;366;114;228;21;3;60;8
14 Jalisco;008 Arandas;Total;Agua entubada de llave pública (o hidrante);122;113;101;10;2;0;7;2
14 Jalisco;008 Arandas;Total;Agua entubada que acarrean de otra vivienda;166;112;44;60;3;5;45;9
14 Jalisco;008 Arandas;Total;Agua de pipa;182;140;43;92;1;4;39;3
14 Jalisco;008 Arandas;Total;Agua de pozo, río, lago, arroyo u otra;1.261;1.023;415;565;30;13;231;7
14 Jalisco;008 Arandas;Total;No especificado;48;31;26;5;0;0;2;15
14 Jalisco;008 Arandas;Disponen de energía eléctrica;Total;17.766;17.253;14.563;2.436;158;96;464;49
14 Jalisco;008 Arandas;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;15.712;15.528;13.831;1.518;107;72;166;18
14 Jalisco;008 Arandas;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;410;354;111;221;19;3;48;8
14 Jalisco;008 Arandas;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);118;109;98;9;2;0;7;2
14 Jalisco;008 Arandas;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;147;105;42;55;3;5;35;7
14 Jalisco;008 Arandas;Disponen de energía eléctrica;Agua de pipa;167;132;42;86;1;3;32;3
14 Jalisco;008 Arandas;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;1.176;995;413;543;26;13;175;6
14 Jalisco;008 Arandas;Disponen de energía eléctrica;No especificado;36;30;26;4;0;0;1;5
14 Jalisco;008 Arandas;No disponen de energía eléctrica;Total;183;83;18;58;6;1;97;3
14 Jalisco;008 Arandas;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;35;24;7;17;0;0;11;0
14 Jalisco;008 Arandas;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;24;12;3;7;2;0;12;0
14 Jalisco;008 Arandas;No disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);4;4;3;1;0;0;0;0
14 Jalisco;008 Arandas;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;19;7;2;5;0;0;10;2
14 Jalisco;008 Arandas;No disponen de energía eléctrica;Agua de pipa;14;7;1;5;0;1;7;0
14 Jalisco;008 Arandas;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;85;28;2;22;4;0;56;1
14 Jalisco;008 Arandas;No disponen de energía eléctrica;No especificado;2;1;0;1;0;0;1;0
14 Jalisco;008 Arandas;No especificado;Total;16;5;4;1;0;0;1;10
14 Jalisco;008 Arandas;No especificado;Agua entubada dentro de la vivienda;5;4;4;0;0;0;1;0
14 Jalisco;008 Arandas;No especificado;Agua de pipa;1;1;0;1;0;0;0;0
14 Jalisco;008 Arandas;No especificado;No especificado;10;0;0;0;0;0;0;10
14 Jalisco;010 Atemajac de Brizuela;Total;Total;1.433;1.330;1.204;111;14;1;90;13
14 Jalisco;010 Atemajac de Brizuela;Total;Agua entubada dentro de la vivienda;1.141;1.100;1.054;41;4;1;37;4
14 Jalisco;010 Atemajac de Brizuela;Total;Agua entubada fuera de la vivienda pero dentro del terreno;204;171;103;61;7;0;27;6
14 Jalisco;010 Atemajac de Brizuela;Total;Agua entubada de llave pública (o hidrante);2;2;2;0;0;0;0;0
14 Jalisco;010 Atemajac de Brizuela;Total;Agua entubada que acarrean de otra vivienda;28;24;23;1;0;0;4;0
14 Jalisco;010 Atemajac de Brizuela;Total;Agua de pipa;5;3;1;0;2;0;2;0
