INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico;;;;;;;;;;;
Fecha de elaboración: 25/02/2011;;;;;;;;;;;
;;;;;;;;;;;
Viviendas particulares habitadas por municipio, disponibilidad de energía eléctrica y agua;;;;;;;;;;;Vivienda 9
según disponibilidad de drenaje y lugar de desalojo;;;;;;;;;;;
;;;;;;;;;;;
Entidad federativa;Municipio;Energía eléctrica;Disponibilidad de agua;Viviendas particulares habitadas1;Disponen de drenaje;;;;;No tiene drenaje;No especificado
;;;;;Lugar de desalojo;;;;;;
;;;;;Total;Red pública;Fosa séptica;Tubería que va a dar a una barranca o grieta;Tubería que va a dar a un río, lago o mar;;
;;;;;;;;;;;
14 Jalisco;098 Tlaquepaque;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;1.194;1.074;551;496;21;6;115;5
14 Jalisco;098 Tlaquepaque;Disponen de energía eléctrica;No especificado;458;203;189;13;1;0;5;250
14 Jalisco;098 Tlaquepaque;No disponen de energía eléctrica;Total;419;337;180;150;3;4;78;4
14 Jalisco;098 Tlaquepaque;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;136;129;115;11;2;1;7;0
14 Jalisco;098 Tlaquepaque;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;39;30;20;10;0;0;8;1
14 Jalisco;098 Tlaquepaque;No disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);9;7;2;5;0;0;2;0
14 Jalisco;098 Tlaquepaque;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;34;21;16;4;0;1;13;0
14 Jalisco;098 Tlaquepaque;No disponen de energía eléctrica;Agua de pipa;140;109;15;93;1;0;30;1
14 Jalisco;098 Tlaquepaque;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;55;38;9;27;0;2;16;1
14 Jalisco;098 Tlaquepaque;No disponen de energía eléctrica;No especificado;6;3;3;0;0;0;2;1
14 Jalisco;098 Tlaquepaque;No especificado;Total;416;62;56;6;0;0;2;352
14 Jalisco;098 Tlaquepaque;No especificado;Agua entubada dentro de la vivienda;51;48;47;1;0;0;1;2
14 Jalisco;098 Tlaquepaque;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;5;3;3;0;0;0;1;1
14 Jalisco;098 Tlaquepaque;No especificado;Agua entubada de llave pública (o hidrante);1;1;1;0;0;0;0;0
14 Jalisco;098 Tlaquepaque;No especificado;Agua entubada que acarrean de otra vivienda;1;1;1;0;0;0;0;0
14 Jalisco;098 Tlaquepaque;No especificado;Agua de pipa;4;4;0;4;0;0;0;0
14 Jalisco;098 Tlaquepaque;No especificado;Agua de pozo, río, lago, arroyo u otra;3;3;2;1;0;0;0;0
14 Jalisco;098 Tlaquepaque;No especificado;No especificado;351;2;2;0;0;0;0;349
14 Jalisco;099 Tolimán;Total;Total;2.351;2.026;1.614;376;33;3;322;3
14 Jalisco;099 Tolimán;Total;Agua entubada dentro de la vivienda;1.707;1.576;1.347;203;24;2;130;1
14 Jalisco;099 Tolimán;Total;Agua entubada fuera de la vivienda pero dentro del terreno;412;321;206;109;6;0;90;1
14 Jalisco;099 Tolimán;Total;Agua entubada de llave pública (o hidrante);39;34;28;5;0;1;5;0
14 Jalisco;099 Tolimán;Total;Agua entubada que acarrean de otra vivienda;77;39;30;8;1;0;38;0
14 Jalisco;099 Tolimán;Total;Agua de pipa;29;18;1;16;1;0;11;0
14 Jalisco;099 Tolimán;Total;Agua de pozo, río, lago, arroyo u otra;86;37;2;34;1;0;48;1
14 Jalisco;099 Tolimán;Total;No especificado;1;1;0;1;0;0;0;0
14 Jalisco;099 Tolimán;Disponen de energía eléctrica;Total;2.189;1.959;1.596;330;30;3;229;1
14 Jalisco;099 Tolimán;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;1.643;1.544;1.338;182;22;2;98;1
14 Jalisco;099 Tolimán;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;371;304;204;94;6;0;67;0
14 Jalisco;099 Tolimán;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);38;34;28;5;0;1;4;0
14 Jalisco;099 Tolimán;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;54;30;23;6;1;0;24;0
14 Jalisco;099 Tolimán;Disponen de energía eléctrica;Agua de pipa;21;14;1;13;0;0;7;0
14 Jalisco;099 Tolimán;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;61;32;2;29;1;0;29;0
14 Jalisco;099 Tolimán;Disponen de energía eléctrica;No especificado;1;1;0;1;0;0;0;0
14 Jalisco;099 Tolimán;No disponen de energía eléctrica;Total;158;63;15;45;3;0;93;2
14 Jalisco;099 Tolimán;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;61;29;7;20;2;0;32;0
14 Jalisco;099 Tolimán;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;41;17;2;15;0;0;23;1
14 Jalisco;099 Tolimán;No disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);1;0;0;0;0;0;1;0
14 Jalisco;099 Tolimán;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;22;8;6;2;0;0;14;0
14 Jalisco;099 Tolimán;No disponen de energía eléctrica;Agua de pipa;8;4;0;3;1;0;4;0
14 Jalisco;099 Tolimán;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;25;5;0;5;0;0;19;1
14 Jalisco;099 Tolimán;No especificado;Total;4;4;3;1;0;0;0;0
14 Jalisco;099 Tolimán;No especificado;Agua entubada dentro de la vivienda;3;3;2;1;0;0;0;0
14 Jalisco;099 Tolimán;No especificado;Agua entubada que acarrean de otra vivienda;1;1;1;0;0;0;0;0
14 Jalisco;100 Tomatlán;Total;Total;8.811;7.558;4.292;3.032;204;30;1.185;68
14 Jalisco;100 Tomatlán;Total;Agua entubada dentro de la vivienda;3.234;3.140;2.568;502;58;12;70;24
14 Jalisco;100 Tomatlán;Total;Agua entubada fuera de la vivienda pero dentro del terreno;2.493;2.085;962;1.040;76;7;393;15
14 Jalisco;100 Tomatlán;Total;Agua entubada de llave pública (o hidrante);1.615;1.441;684;724;30;3;171;3
14 Jalisco;100 Tomatlán;Total;Agua entubada que acarrean de otra vivienda;189;103;46;54;3;0;80;6
14 Jalisco;100 Tomatlán;Total;Agua de pipa;38;21;1;19;1;0;13;4
14 Jalisco;100 Tomatlán;Total;Agua de pozo, río, lago, arroyo u otra;1.222;763;28;691;36;8;454;5
14 Jalisco;100 Tomatlán;Total;No especificado;20;5;3;2;0;0;4;11
14 Jalisco;100 Tomatlán;Disponen de energía eléctrica;Total;8.359;7.376;4.268;2.887;194;27;938;45
14 Jalisco;100 Tomatlán;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;3.220;3.127;2.562;497;56;12;69;24
14 Jalisco;100 Tomatlán;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;2.418;2.046;954;1.010;75;7;362;10
14 Jalisco;100 Tomatlán;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);1.583;1.425;680;713;29;3;156;2
14 Jalisco;100 Tomatlán;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;158;90;43;44;3;0;63;5
14 Jalisco;100 Tomatlán;Disponen de energía eléctrica;Agua de pipa;19;12;1;10;1;0;6;1
14 Jalisco;100 Tomatlán;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;954;671;25;611;30;5;280;3
14 Jalisco;100 Tomatlán;Disponen de energía eléctrica;No especificado;7;5;3;2;0;0;2;0
14 Jalisco;100 Tomatlán;No disponen de energía eléctrica;Total;434;178;22;143;10;3;244;12
14 Jalisco;100 Tomatlán;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;13;12;5;5;2;0;1;0
14 Jalisco;100 Tomatlán;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;75;39;8;30;1;0;31;5
14 Jalisco;100 Tomatlán;No disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);31;15;4;10;1;0;15;1
14 Jalisco;100 Tomatlán;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;30;12;2;10;0;0;17;1
14 Jalisco;100 Tomatlán;No disponen de energía eléctrica;Agua de pipa;19;9;0;9;0;0;7;3
14 Jalisco;100 Tomatlán;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;264;91;3;79;6;3;171;2
14 Jalisco;100 Tomatlán;No disponen de energía eléctrica;No especificado;2;0;0;0;0;0;2;0
14 Jalisco;100 Tomatlán;No especificado;Total;18;4;2;2;0;0;3;11
14 Jalisco;100 Tomatlán;No especificado;Agua entubada dentro de la vivienda;1;1;1;0;0;0;0;0
14 Jalisco;100 Tomatlán;No especificado;Agua entubada de llave pública (o hidrante);1;1;0;1;0;0;0;0
14 Jalisco;100 Tomatlán;No especificado;Agua entubada que acarrean de otra vivienda;1;1;1;0;0;0;0;0
14 Jalisco;100 Tomatlán;No especificado;Agua de pozo, río, lago, arroyo u otra;4;1;0;1;0;0;3;0
14 Jalisco;100 Tomatlán;No especificado;No especificado;11;0;0;0;0;0;0;11
14 Jalisco;101 Tonalá;Total;Total;104.671;102.902;97.189;4.918;408;387;1.255;514
14 Jalisco;101 Tonalá;Total;Agua entubada dentro de la vivienda;90.873;90.516;89.200;950;215;151;227;130
14 Jalisco;101 Tonalá;Total;Agua entubada fuera de la vivienda pero dentro del terreno;2.342;2.142;1.703;269;68;102;194;6
14 Jalisco;101 Tonalá;Total;Agua entubada de llave pública (o hidrante);1.398;1.343;1.035;252;50;6;52;3
14 Jalisco;101 Tonalá;Total;Agua entubada que acarrean de otra vivienda;619;542;399;122;11;10;71;6
14 Jalisco;101 Tonalá;Total;Agua de pipa;4.893;4.539;2.187;2.256;31;65;339;15
14 Jalisco;101 Tonalá;Total;Agua de pozo, río, lago, arroyo u otra;4.033;3.662;2.517;1.061;32;52;361;10
14 Jalisco;101 Tonalá;Total;No especificado;513;158;148;8;1;1;11;344
14 Jalisco;101 Tonalá;Disponen de energía eléctrica;Total;104.022;102.544;97.001;4.771;406;366;1.148;330
14 Jalisco;101 Tonalá;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;90.751;90.401;89.092;944;214;151;222;128
14 Jalisco;101 Tonalá;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;2.304;2.109;1.682;262;68;97;189;6
14 Jalisco;101 Tonalá;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);1.389;1.334;1.027;251;50;6;52;3
14 Jalisco;101 Tonalá;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;596;529;390;118;11;10;62;5
14 Jalisco;101 Tonalá;Disponen de energía eléctrica;Agua de pipa;4.713;4.419;2.169;2.169;31;50;280;14
14 Jalisco;101 Tonalá;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;3.944;3.600;2.498;1.020;31;51;335;9
14 Jalisco;101 Tonalá;Disponen de energía eléctrica;No especificado;325;152;143;7;1;1;8;165
14 Jalisco;101 Tonalá;No disponen de energía eléctrica;Total;427;319;152;144;2;21;104;4
14 Jalisco;101 Tonalá;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;91;85;78;6;1;0;5;1
14 Jalisco;101 Tonalá;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;37;32;20;7;0;5;5;0
14 Jalisco;101 Tonalá;No disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);8;8;7;1;0;0;0;0
14 Jalisco;101 Tonalá;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;21;11;8;3;0;0;9;1
14 Jalisco;101 Tonalá;No disponen de energía eléctrica;Agua de pipa;177;119;18;86;0;15;57;1
14 Jalisco;101 Tonalá;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;86;60;17;41;1;1;25;1
14 Jalisco;101 Tonalá;No disponen de energía eléctrica;No especificado;7;4;4;0;0;0;3;0
14 Jalisco;101 Tonalá;No especificado;Total;222;39;36;3;0;0;3;180
14 Jalisco;101 Tonalá;No especificado;Agua entubada dentro de la vivienda;31;30;30;0;0;0;0;1
14 Jalisco;101 Tonalá;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;1;1;1;0;0;0;0;0
14 Jalisco;101 Tonalá;No especificado;Agua entubada de llave pública (o hidrante);1;1;1;0;0;0;0;0
14 Jalisco;101 Tonalá;No especificado;Agua entubada que acarrean de otra vivienda;2;2;1;1;0;0;0;0
14 Jalisco;101 Tonalá;No especificado;Agua de pipa;3;1;0;1;0;0;2;0
14 Jalisco;101 Tonalá;No especificado;Agua de pozo, río, lago, arroyo u otra;3;2;2;0;0;0;1;0
14 Jalisco;101 Tonalá;No especificado;No especificado;181;2;1;1;0;0;0;179
14 Jalisco;102 Tonaya;Total;Total;1.645;1.602;1.422;82;72;26;36;7
14 Jalisco;102 Tonaya;Total;Agua entubada dentro de la vivienda;1.539;1.513;1.357;69;68;19;22;4
14 Jalisco;102 Tonaya;Total;Agua entubada fuera de la vivienda pero dentro del terreno;80;74;57;9;3;5;5;1
14 Jalisco;102 Tonaya;Total;Agua entubada de llave pública (o hidrante);2;2;1;1;0;0;0;0
14 Jalisco;102 Tonaya;Total;Agua entubada que acarrean de otra vivienda;8;3;3;0;0;0;4;1
14 Jalisco;102 Tonaya;Total;Agua de pipa;4;3;1;2;0;0;1;0
14 Jalisco;102 Tonaya;Total;Agua de pozo, río, lago, arroyo u otra;10;6;2;1;1;2;4;0
14 Jalisco;102 Tonaya;Total;No especificado;2;1;1;0;0;0;0;1
14 Jalisco;102 Tonaya;Disponen de energía eléctrica;Total;1.634;1.597;1.418;81;72;26;31;6
14 Jalisco;102 Tonaya;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;1.534;1.509;1.353;69;68;19;21;4
14 Jalisco;102 Tonaya;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;80;74;57;9;3;5;5;1
14 Jalisco;102 Tonaya;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);2;2;1;1;0;0;0;0
14 Jalisco;102 Tonaya;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;5;3;3;0;0;0;1;1
14 Jalisco;102 Tonaya;Disponen de energía eléctrica;Agua de pipa;2;2;1;1;0;0;0;0
14 Jalisco;102 Tonaya;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;10;6;2;1;1;2;4;0
14 Jalisco;102 Tonaya;Disponen de energía eléctrica;No especificado;1;1;1;0;0;0;0;0
14 Jalisco;102 Tonaya;No disponen de energía eléctrica;Total;9;4;3;1;0;0;5;0
14 Jalisco;102 Tonaya;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;4;3;3;0;0;0;1;0
14 Jalisco;102 Tonaya;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;3;0;0;0;0;0;3;0
14 Jalisco;102 Tonaya;No disponen de energía eléctrica;Agua de pipa;2;1;0;1;0;0;1;0
14 Jalisco;102 Tonaya;No especificado;Total;2;1;1;0;0;0;0;1
14 Jalisco;102 Tonaya;No especificado;Agua entubada dentro de la vivienda;1;1;1;0;0;0;0;0
14 Jalisco;102 Tonaya;No especificado;No especificado;1;0;0;0;0;0;0;1
14 Jalisco;103 Tonila;Total;Total;1.973;1.947;1.804;54;88;1;19;7
14 Jalisco;103 Tonila;Total;Agua entubada dentro de la vivienda;1.852;1.839;1.721;36;81;1;9;4
14 Jalisco;103 Tonila;Total;Agua entubada fuera de la vivienda pero dentro del terreno;88;84;65;14;5;0;4;0
14 Jalisco;103 Tonila;Total;Agua entubada de llave pública (o hidrante);3;2;2;0;0;0;1;0
14 Jalisco;103 Tonila;Total;Agua entubada que acarrean de otra vivienda;12;11;10;0;1;0;1;0
14 Jalisco;103 Tonila;Total;Agua de pipa;1;0;0;0;0;0;1;0
14 Jalisco;103 Tonila;Total;Agua de pozo, río, lago, arroyo u otra;11;8;4;3;1;0;3;0
14 Jalisco;103 Tonila;Total;No especificado;6;3;2;1;0;0;0;3
14 Jalisco;103 Tonila;Disponen de energía eléctrica;Total;1.956;1.939;1.799;51;88;1;14;3
14 Jalisco;103 Tonila;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;1.845;1.833;1.716;35;81;1;9;3
14 Jalisco;103 Tonila;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;84;82;65;12;5;0;2;0
14 Jalisco;103 Tonila;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);3;2;2;0;0;0;1;0
14 Jalisco;103 Tonila;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;12;11;10;0;1;0;1;0
14 Jalisco;103 Tonila;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;9;8;4;3;1;0;1;0
14 Jalisco;103 Tonila;Disponen de energía eléctrica;No especificado;3;3;2;1;0;0;0;0
14 Jalisco;103 Tonila;No disponen de energía eléctrica;Total;12;6;4;2;0;0;5;1
14 Jalisco;103 Tonila;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;5;4;4;0;0;0;0;1
14 Jalisco;103 Tonila;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;4;2;0;2;0;0;2;0
14 Jalisco;103 Tonila;No disponen de energía eléctrica;Agua de pipa;1;0;0;0;0;0;1;0
14 Jalisco;103 Tonila;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;2;0;0;0;0;0;2;0
14 Jalisco;103 Tonila;No especificado;Total;5;2;1;1;0;0;0;3
14 Jalisco;103 Tonila;No especificado;Agua entubada dentro de la vivienda;2;2;1;1;0;0;0;0
14 Jalisco;103 Tonila;No especificado;No especificado;3;0;0;0;0;0;0;3
14 Jalisco;104 Totatiche;Total;Total;1.330;1.194;865;306;9;14;133;3
14 Jalisco;104 Totatiche;Total;Agua entubada dentro de la vivienda;1.181;1.106;845;244;4;13;74;1
14 Jalisco;104 Totatiche;Total;Agua entubada fuera de la vivienda pero dentro del terreno;38;28;6;20;1;1;10;0
14 Jalisco;104 Totatiche;Total;Agua entubada de llave pública (o hidrante);11;11;9;2;0;0;0;0
14 Jalisco;104 Totatiche;Total;Agua entubada que acarrean de otra vivienda;9;1;1;0;0;0;8;0
14 Jalisco;104 Totatiche;Total;Agua de pipa;1;1;1;0;0;0;0;0
14 Jalisco;104 Totatiche;Total;Agua de pozo, río, lago, arroyo u otra;88;46;2;40;4;0;40;2
14 Jalisco;104 Totatiche;Total;No especificado;2;1;1;0;0;0;1;0
14 Jalisco;104 Totatiche;Disponen de energía eléctrica;Total;1.286;1.183;863;299;8;13;101;2
14 Jalisco;104 Totatiche;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;1.169;1.100;843;241;4;12;68;1
14 Jalisco;104 Totatiche;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;35;28;6;20;1;1;7;0
14 Jalisco;104 Totatiche;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);11;11;9;2;0;0;0;0
14 Jalisco;104 Totatiche;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;4;1;1;0;0;0;3;0
14 Jalisco;104 Totatiche;Disponen de energía eléctrica;Agua de pipa;1;1;1;0;0;0;0;0
14 Jalisco;104 Totatiche;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;64;41;2;36;3;0;22;1
14 Jalisco;104 Totatiche;Disponen de energía eléctrica;No especificado;2;1;1;0;0;0;1;0
14 Jalisco;104 Totatiche;No disponen de energía eléctrica;Total;42;9;0;7;1;1;32;1
14 Jalisco;104 Totatiche;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;10;4;0;3;0;1;6;0
14 Jalisco;104 Totatiche;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;3;0;0;0;0;0;3;0
14 Jalisco;104 Totatiche;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;5;0;0;0;0;0;5;0
14 Jalisco;104 Totatiche;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;24;5;0;4;1;0;18;1
14 Jalisco;104 Totatiche;No especificado;Total;2;2;2;0;0;0;0;0
14 Jalisco;104 Totatiche;No especificado;Agua entubada dentro de la vivienda;2;2;2;0;0;0;0;0
14 Jalisco;105 Tototlán;Total;Total;5.526;5.333;4.589;668;47;29;174;19
14 Jalisco;105 Tototlán;Total;Agua entubada dentro de la vivienda;4.267;4.208;3.858;326;20;4;51;8
14 Jalisco;105 Tototlán;Total;Agua entubada fuera de la vivienda pero dentro del terreno;328;299;171;116;6;6;29;0
14 Jalisco;105 Tototlán;Total;Agua entubada de llave pública (o hidrante);74;72;57;15;0;0;2;0
14 Jalisco;105 Tototlán;Total;Agua entubada que acarrean de otra vivienda;38;21;16;5;0;0;17;0
14 Jalisco;105 Tototlán;Total;Agua de pipa;21;15;1;13;0;1;6;0
14 Jalisco;105 Tototlán;Total;Agua de pozo, río, lago, arroyo u otra;786;716;484;193;21;18;67;3
14 Jalisco;105 Tototlán;Total;No especificado;12;2;2;0;0;0;2;8
14 Jalisco;105 Tototlán;Disponen de energía eléctrica;Total;5.481;5.310;4.580;654;47;29;156;15
14 Jalisco;105 Tototlán;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;4.257;4.200;3.853;323;20;4;49;8
14 Jalisco;105 Tototlán;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;319;292;167;113;6;6;27;0
14 Jalisco;105 Tototlán;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);74;72;57;15;0;0;2;0
14 Jalisco;105 Tototlán;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;35;20;16;4;0;0;15;0
14 Jalisco;105 Tototlán;Disponen de energía eléctrica;Agua de pipa;19;15;1;13;0;1;4;0
14 Jalisco;105 Tototlán;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;769;709;484;186;21;18;57;3
14 Jalisco;105 Tototlán;Disponen de energía eléctrica;No especificado;8;2;2;0;0;0;2;4
14 Jalisco;105 Tototlán;No disponen de energía eléctrica;Total;35;19;6;13;0;0;16;0
14 Jalisco;105 Tototlán;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;8;6;3;3;0;0;2;0
14 Jalisco;105 Tototlán;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;8;6;3;3;0;0;2;0
14 Jalisco;105 Tototlán;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;3;1;0;1;0;0;2;0
14 Jalisco;105 Tototlán;No disponen de energía eléctrica;Agua de pipa;1;0;0;0;0;0;1;0
14 Jalisco;105 Tototlán;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;15;6;0;6;0;0;9;0
14 Jalisco;105 Tototlán;No especificado;Total;10;4;3;1;0;0;2;4
14 Jalisco;105 Tototlán;No especificado;Agua entubada dentro de la vivienda;2;2;2;0;0;0;0;0
14 Jalisco;105 Tototlán;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;1;1;1;0;0;0;0;0
14 Jalisco;105 Tototlán;No especificado;Agua de pipa;1;0;0;0;0;0;1;0
14 Jalisco;105 Tototlán;No especificado;Agua de pozo, río, lago, arroyo u otra;2;1;0;1;0;0;1;0
14 Jalisco;105 Tototlán;No especificado;No especificado;4;0;0;0;0;0;0;4
14 Jalisco;106 Tuxcacuesco;Total;Total;1.100;1.000;639;347;7;7;98;2
14 Jalisco;106 Tuxcacuesco;Total;Agua entubada dentro de la vivienda;971;909;602;296;6;5;60;2
14 Jalisco;106 Tuxcacuesco;Total;Agua entubada fuera de la vivienda pero dentro del terreno;74;60;32;25;1;2;14;0
14 Jalisco;106 Tuxcacuesco;Total;Agua entubada de llave pública (o hidrante);6;4;0;4;0;0;2;0
14 Jalisco;106 Tuxcacuesco;Total;Agua entubada que acarrean de otra vivienda;27;10;3;7;0;0;17;0
14 Jalisco;106 Tuxcacuesco;Total;Agua de pipa;3;1;0;1;0;0;2;0
14 Jalisco;106 Tuxcacuesco;Total;Agua de pozo, río, lago, arroyo u otra;19;16;2;14;0;0;3;0
14 Jalisco;106 Tuxcacuesco;Disponen de energía eléctrica;Total;1.065;983;635;334;7;7;80;2
14 Jalisco;106 Tuxcacuesco;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;951;897;598;288;6;5;52;2
14 Jalisco;106 Tuxcacuesco;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;71;58;32;23;1;2;13;0
14 Jalisco;106 Tuxcacuesco;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);5;3;0;3;0;0;2;0
14 Jalisco;106 Tuxcacuesco;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;19;9;3;6;0;0;10;0
14 Jalisco;106 Tuxcacuesco;Disponen de energía eléctrica;Agua de pipa;3;1;0;1;0;0;2;0
14 Jalisco;106 Tuxcacuesco;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;16;15;2;13;0;0;1;0
14 Jalisco;106 Tuxcacuesco;No disponen de energía eléctrica;Total;33;15;4;11;0;0;18;0
14 Jalisco;106 Tuxcacuesco;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;20;12;4;8;0;0;8;0
14 Jalisco;106 Tuxcacuesco;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;2;1;0;1;0;0;1;0
14 Jalisco;106 Tuxcacuesco;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;8;1;0;1;0;0;7;0
14 Jalisco;106 Tuxcacuesco;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;3;1;0;1;0;0;2;0
14 Jalisco;106 Tuxcacuesco;No especificado;Total;2;2;0;2;0;0;0;0
14 Jalisco;106 Tuxcacuesco;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;1;1;0;1;0;0;0;0
14 Jalisco;106 Tuxcacuesco;No especificado;Agua entubada de llave pública (o hidrante);1;1;0;1;0;0;0;0
14 Jalisco;107 Tuxcueca;Total;Total;1.571;1.465;1.039;422;1;3;84;22
14 Jalisco;107 Tuxcueca;Total;Agua entubada dentro de la vivienda;1.406;1.347;983;363;0;1;48;11
14 Jalisco;107 Tuxcueca;Total;Agua entubada fuera de la vivienda pero dentro del terreno;89;78;44;31;1;2;10;1
14 Jalisco;107 Tuxcueca;Total;Agua entubada de llave pública (o hidrante);13;6;2;4;0;0;7;0
14 Jalisco;107 Tuxcueca;Total;Agua entubada que acarrean de otra vivienda;24;18;10;8;0;0;5;1
14 Jalisco;107 Tuxcueca;Total;Agua de pipa;12;0;0;0;0;0;12;0
14 Jalisco;107 Tuxcueca;Total;Agua de pozo, río, lago, arroyo u otra;18;16;0;16;0;0;1;1
14 Jalisco;107 Tuxcueca;Total;No especificado;9;0;0;0;0;0;1;8
14 Jalisco;107 Tuxcueca;Disponen de energía eléctrica;Total;1.550;1.456;1.036;416;1;3;78;16
14 Jalisco;107 Tuxcueca;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;1.398;1.340;980;359;0;1;47;11
14 Jalisco;107 Tuxcueca;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;87;77;44;30;1;2;9;1
14 Jalisco;107 Tuxcueca;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);12;6;2;4;0;0;6;0
14 Jalisco;107 Tuxcueca;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;20;17;10;7;0;0;3;0
14 Jalisco;107 Tuxcueca;Disponen de energía eléctrica;Agua de pipa;12;0;0;0;0;0;12;0
